userId,total_ratings,avg_rating,rating_std,last_active_days,watch_frequency,tenure_months,top_genre,top_genre_cnt,genre_affinity_score,genre_encoded,plan_tier,plan_price,plan_encoded,acq_channel,acq_encoded,churn_prob,churned,markov_state,naive_ltv,iltv,p_rejoin,duration,event
187,1386,3.875901875901876,0.659370185577303,0.0608776626702362,0.0012102668350212,114.53333333333332,Action,406,33.2,0,Basic,9.99,1,organic,1,0.05,0,on_service,128.21,118.8,0.183,1.98,0
199,85,4.0,1.035098339013531,0.998719590268886,0.2162849872773536,286.0,Action,37,43.5,0,Standard,15.49,2,trial,3,0.4838331785764321,1,off_service_long,31.37,16.7,0.194,4.93,1
202,48,3.1041666666666665,0.9165054661613022,0.5133279012920499,0.1221374045801526,147.0,Action,21,43.8,0,Standard,15.49,2,trial,3,0.1419936187435636,0,on_service,99.88,85.21,0.194,2.54,0
207,176,3.605113636363636,0.7608468880221478,0.4441857758118961,0.1119592875318066,127.33333333333331,Action,75,42.6,0,Standard,15.49,2,trial,3,0.0941689768836136,0,on_service,137.79,123.14,0.193,2.2,0
212,111,3.4504504504504503,1.042189467495659,0.7207542777325108,0.2824427480916031,206.4,Comedy,28,25.2,4,Standard,15.49,2,trial,3,0.2649820481402071,0,on_service,56.3,41.76,0.175,3.56,0
214,35,3.628571428571429,0.7702449681266147,0.980211849610057,0.089058524173028,280.7,Action,15,42.9,0,Basic,9.99,1,bundle,0,0.5338402176015317,0,on_service,18.37,8.92,0.193,4.84,0
226,575,2.5730434782608698,1.027862853275998,0.6932836689558841,0.4877014418999151,198.6,Comedy,197,34.3,4,Standard,15.49,2,organic,1,0.05,0,on_service,198.8,184.19,0.184,3.43,0
227,160,4.0875,0.6671774772603782,0.3134675823536259,0.0019957092251658,96.56666666666666,Action,49,30.6,0,Basic,9.99,1,paid_social,2,0.1085762112703177,0,on_service,80.04,70.64,0.181,1.67,0
261,186,3.532258064516129,1.1503382619153826,0.6917704574554766,0.0006675351801806,221.7,Action,65,34.9,0,Basic,9.99,1,bundle,0,0.363282598374291,0,on_service,26.76,17.34,0.185,3.82,0
271,58,3.922413793103448,0.9858726837570572,0.5174019322546851,0.1475826972010178,148.2,Action,17,29.3,0,Standard,15.49,2,organic,1,0.05,0,on_service,198.8,184.23,0.179,2.56,0
273,34,4.323529411764706,1.036327672390967,0.1734373181236177,0.0865139949109414,49.66666666666666,Drama,11,32.4,7,Basic,9.99,1,organic,1,0.05,0,on_service,128.21,118.8,0.182,0.86,0
286,24,3.8333333333333335,0.3806934938134405,0.0868350599464555,0.0610687022900763,24.866666666666667,Comedy,16,66.7,4,Basic,9.99,1,bundle,0,0.05,0,on_service,128.21,118.68,0.217,0.43,0
298,20,3.8,0.9514531821875089,0.9682225584914446,0.0508905852417302,277.26666666666665,Action,7,35.0,0,Basic,9.99,1,trial,3,0.6591327541722906,1,off_service_long,14.93,5.51,0.185,4.78,1
299,23,3.9565217391304346,1.0966171483067708,0.6511465487137702,0.0585241730279898,186.5,Action,8,34.8,0,Basic,9.99,1,paid_social,2,0.3420551524570212,0,on_service,28.38,18.95,0.185,3.22,0
301,234,2.9871794871794872,0.7234915889172935,0.1203585147247119,0.099236641221374,34.63333333333333,Action,62,26.5,0,Basic,9.99,1,trial,3,0.05,0,on_service,128.21,118.83,0.176,0.6,0
302,132,4.416666666666667,0.878423871902247,0.1393318589221278,0.3358778625954198,39.9,Action,56,42.4,0,Standard,15.49,2,organic,1,0.05,0,on_service,198.8,184.14,0.192,0.69,0
304,323,3.551083591331269,1.012203672982609,0.8393667791875218,0.005787908110239,245.06666666666663,Comedy,116,35.9,4,Basic,9.99,1,organic,1,0.446799469294898,0,on_service,21.87,12.44,0.186,4.23,0
308,33,4.333333333333333,0.7359800721939872,0.2900710045396345,0.0839694656488549,83.06666666666666,Drama,13,39.4,7,Basic,9.99,1,trial,3,0.0912720708072801,0,on_service,90.83,81.39,0.189,1.43,0
318,430,3.6546511627906977,0.7776986216357955,0.5224071702944942,0.0017230670593656,170.76666666666668,Comedy,168,39.1,4,Basic,9.99,1,bundle,0,0.2188642027059126,0,on_service,43.56,34.12,0.189,2.95,0
324,80,3.7,0.8808798823271012,0.1862414154347573,0.00782932080642,54.2,Action,38,47.5,0,Basic,9.99,1,organic,1,0.05,0,on_service,128.21,118.74,0.198,0.93,0
325,105,3.323809523809524,0.8491538559426501,0.9505296240251426,0.2671755725190839,272.2,Comedy,34,32.4,4,Standard,15.49,2,paid_social,2,0.3820359129605721,1,off_service_long,39.51,24.92,0.182,4.69,1
329,49,3.73469387755102,1.3034491136353328,0.9949947619601908,0.1246819338422391,284.93333333333334,Action,19,38.8,0,Standard,15.49,2,paid_social,2,0.4760548426470332,0,on_service,31.87,17.23,0.189,4.91,0
351,29,4.206896551724138,0.8185051856379751,0.635665231055756,0.0737913486005089,182.03333333333333,Comedy,10,34.5,4,Basic,9.99,1,bundle,0,0.2826365105443503,0,on_service,34.13,24.71,0.184,3.14,0
370,380,3.292105263157895,0.8993933983150242,0.8413455942265161,0.0210200243389755,242.46666666666667,Action,138,36.3,0,Basic,9.99,1,paid_social,2,0.5099664632117252,1,off_service_long,19.21,9.78,0.186,4.18,1
379,284,2.813380281690141,0.8345650248302314,0.1782097543941334,0.0005952605522508,91.46666666666668,Action,78,27.5,0,Basic,9.99,1,paid_social,2,0.05,0,on_service,128.21,118.82,0.178,1.58,0
381,29,3.724137931034482,0.9690404578071008,0.2706320568036317,0.0737913486005089,77.5,Comedy,11,37.9,4,Basic,9.99,1,bundle,0,0.05,0,on_service,128.21,118.78,0.188,1.34,0
383,20,3.7,0.9787209698591856,0.9750902106856012,0.0508905852417302,279.2333333333333,Action,6,30.0,0,Basic,9.99,1,trial,3,0.6746268759276159,0,on_service,14.59,5.19,0.18,4.82,0
392,36,4.638888888888889,0.6825489109748956,0.8182982190664649,0.0012722646310432,236.7333333333333,Animation,10,27.8,2,Basic,9.99,1,paid_social,2,0.5184024429376505,0,on_service,18.91,9.52,0.178,4.08,0
395,249,4.335341365461847,0.6637169163856799,0.3393085787451985,0.0057598889659958,100.8,Comedy,103,41.4,4,Basic,9.99,1,trial,3,0.1657669185131608,0,on_service,56.26,46.81,0.191,1.74,0
397,81,4.75925925925926,0.3270236145058097,0.1461995111162845,0.2061068702290076,41.9,Action,35,43.2,0,Standard,15.49,2,trial,3,0.05,0,on_service,198.8,184.14,0.193,0.72,0
402,366,4.061475409836065,0.7078170247242985,0.0017460132697008,0.0002793334462878,111.6,Action,131,35.8,0,Basic,9.99,1,bundle,0,0.05,0,on_service,128.21,118.79,0.186,1.92,0
420,84,3.761904761904762,0.8304309756254613,0.8420439995343965,0.0020164194152383,244.63333333333333,Comedy,23,27.4,4,Basic,9.99,1,organic,1,0.4678269899198981,1,off_service_long,20.91,11.52,0.177,4.22,1
423,41,3.8536585365853657,1.0442934360072391,0.1467815155395181,0.0006030387268528,47.766666666666666,Action,16,39.0,0,Basic,9.99,1,trial,3,0.05,0,on_service,128.21,118.77,0.189,0.82,0
437,207,4.082125603864735,1.0087093183873417,0.7436852520079152,0.5267175572519084,212.96666666666667,Action,66,31.9,0,Premium,22.99,3,paid_social,2,0.05,1,off_service_long,295.05,273.4,0.182,3.67,1
467,20,3.425,0.5447114156283026,0.3444302176696543,0.0508905852417302,98.63333333333334,Comedy,7,35.0,4,Basic,9.99,1,organic,1,0.05,0,on_service,128.21,118.79,0.185,1.7,0
477,580,3.7448275862068967,1.0461992092430397,0.5448725410313119,0.0015309408423342,188.13333333333333,Action,223,38.4,0,Basic,9.99,1,organic,1,0.2083325624038824,0,on_service,45.62,36.19,0.188,3.24,0
486,53,3.5283018867924527,1.1494777005383068,0.0750785705971365,0.1348600508905852,21.5,Action,46,86.8,0,Standard,15.49,2,trial,3,0.05,0,on_service,198.8,183.95,0.237,0.37,0
492,21,3.142857142857143,0.7096276689725596,0.6234431381678501,0.0534351145038167,178.53333333333333,Action,12,57.1,0,Basic,9.99,1,organic,1,0.2078369532823716,1,off_service_long,45.73,36.22,0.207,3.08,1
499,40,2.85,1.144664322085916,0.8087533465254336,0.1017811704834605,231.6,Drama,14,35.0,7,Standard,15.49,2,paid_social,2,0.3461120919786167,1,off_service_long,43.5,28.89,0.185,3.99,1
506,44,3.4318181818181817,0.728098104580895,0.9644977301827494,0.1119592875318066,276.2,Action,17,38.6,0,Standard,15.49,2,paid_social,2,0.4584185403802963,1,off_service_long,33.07,18.44,0.189,4.76,1
509,34,3.235294117647059,1.074746581247758,0.8185310208357583,0.0865139949109414,234.4,Action,24,70.6,0,Basic,9.99,1,organic,1,0.320367819213136,0,on_service,30.24,20.7,0.221,4.04,0
510,25,4.72,0.4804511768466524,0.1141892678384355,0.0090876045074518,32.9,Animation,6,24.0,2,Basic,9.99,1,trial,3,0.05,0,on_service,128.21,118.84,0.174,0.57,0
511,103,3.266990291262136,1.3169623656178775,0.4567570713537422,0.2620865139949109,130.83333333333334,Action,30,29.1,0,Standard,15.49,2,bundle,0,0.05,0,on_service,198.8,184.23,0.179,2.26,0
517,36,3.25,1.137038760490223,0.1673844721219881,0.0009849790691947,51.03333333333333,Action,19,52.8,0,Basic,9.99,1,bundle,0,0.05,0,on_service,128.21,118.72,0.203,0.88,0
518,39,3.8205128205128207,0.9423317907078578,0.9818414619951112,0.099236641221374,281.1666666666667,Comedy,13,33.3,4,Basic,9.99,1,trial,3,0.6492548489854019,1,off_service_long,15.15,5.74,0.183,4.85,1
520,30,3.6166666666666663,1.4895227963745774,0.2061459667093469,0.0763358778625954,59.03333333333333,Action,14,46.7,0,Basic,9.99,1,trial,3,0.05,0,on_service,128.21,118.74,0.197,1.02,0
523,205,4.409756097560976,0.7845958363989072,0.8315679199161914,0.5216284987277354,238.13333333333333,Comedy,68,33.2,4,Premium,22.99,3,organic,1,0.05,0,on_service,295.05,273.39,0.183,4.11,0
549,54,3.425925925925926,1.3082012979350457,0.4746828075893377,0.0687022900763358,135.96666666666667,Comedy,25,46.3,4,Basic,9.99,1,bundle,0,0.1327951010333022,0,on_service,68.16,58.69,0.196,2.35,0
550,238,3.918067226890756,0.837296006831761,0.0274706087766267,0.0039581566299123,12.966666666666669,Action,80,33.6,0,Basic,9.99,1,paid_social,2,0.05,1,off_service_recent,128.21,118.79,0.184,0.22,1
551,293,3.4590443686006824,1.1188125622259295,0.5950413223140496,0.0248515691263782,171.36666666666667,Action,113,38.6,0,Basic,9.99,1,trial,3,0.3664072732880506,1,off_service_long,26.54,17.1,0.189,2.96,1
568,52,2.9038461538461537,1.4039107198111291,0.7844255616342685,0.1323155216284987,224.63333333333333,Comedy,16,30.8,4,Standard,15.49,2,organic,1,0.2497826884931654,0,on_service,59.58,45.0,0.181,3.87,0
574,22,3.5,1.0118347314702751,0.60284018158538,0.0559796437659033,172.63333333333333,Comedy,10,45.5,4,Basic,9.99,1,organic,1,0.2132823233853523,0,on_service,44.63,35.17,0.196,2.98,0
576,67,3.492537313432836,1.035332391778312,0.9539052496798976,0.0006361323155216,282.1,Action,24,35.8,0,Basic,9.99,1,paid_social,2,0.6112061335861573,0,on_service,16.08,6.66,0.186,4.87,0
583,88,4.107954545454546,0.8757553837476592,0.1601676172738912,0.003198836786623,48.2,Action,43,48.9,0,Basic,9.99,1,bundle,0,0.05,0,on_service,128.21,118.74,0.199,0.83,0
586,20,3.7,0.6569466853317862,0.8087533465254336,0.0254452926208651,231.63333333333333,Drama,15,75.0,7,Basic,9.99,1,bundle,0,0.3642800309099144,0,on_service,26.69,17.14,0.225,4.0,0
617,71,4.112676056338028,1.076360212868853,0.8037481084856245,0.1806615776081425,230.16666666666663,Drama,27,38.0,7,Standard,15.49,2,trial,3,0.3566676979844285,0,on_service,42.24,27.62,0.188,3.97,0
626,1888,3.3220338983050848,0.8504194513023702,0.5137935048306367,0.0017355748724058,239.36666666666667,Comedy,557,45.6,4,Basic,9.99,1,organic,1,0.1689670164283064,0,on_service,55.3,45.84,0.196,4.13,0
630,348,3.139367816091954,0.899071985397515,0.6106390408567105,0.0012384562002882,198.66666666666663,Comedy,148,42.5,4,Basic,9.99,1,bundle,0,0.2828920045852242,0,on_service,34.1,24.65,0.192,3.43,0
635,49,4.418367346938775,0.6562753072541772,0.1714585030846234,0.1246819338422391,49.1,Action,29,59.2,0,Standard,15.49,2,organic,1,0.05,0,on_service,198.8,184.06,0.209,0.85,0
643,22,3.727272727272727,1.241420775211025,0.9871959026888604,0.0559796437659033,282.7,Action,9,40.9,0,Basic,9.99,1,bundle,0,0.5599669002681368,1,off_service_long,17.53,8.08,0.191,4.88,1
652,110,4.254545454545455,1.0443062192509946,0.245256663950646,0.0002098187547447,114.66666666666669,Action,24,21.8,0,Basic,9.99,1,paid_social,2,0.0725004217831444,0,on_service,105.43,96.07,0.172,1.98,0
657,75,4.166666666666667,0.9909500401039312,0.2281457339075777,0.0002452952373476,91.23333333333332,Action,30,40.0,0,Basic,9.99,1,organic,1,0.05,0,on_service,128.21,118.77,0.19,1.57,0
660,39,3.8333333333333335,0.868553950490285,0.4906297287859387,0.099236641221374,140.5,Comedy,10,25.6,4,Basic,9.99,1,organic,1,0.1416854624180639,0,on_service,64.53,55.15,0.176,2.42,0
661,46,4.228260869565218,1.4403183357204616,0.3801652892561983,0.1170483460559796,108.86666666666666,Drama,17,37.0,7,Standard,15.49,2,trial,3,0.0516080583769689,0,on_service,195.91,181.29,0.187,1.88,0
664,27,3.925925925925926,0.9167637866189088,0.998370387614946,0.0687022900763358,285.93333333333334,Action,11,40.7,0,Basic,9.99,1,paid_social,2,0.6029451650537888,1,off_service_long,16.3,6.85,0.191,4.93,1
669,51,3.450980392156863,0.7566696898963531,0.9561168664881852,0.1297709923664122,273.8,Action,14,27.5,0,Standard,15.49,2,paid_social,2,0.465007997007342,1,off_service_long,32.61,18.05,0.178,4.72,1
672,73,3.6986301369863015,0.8446717229993574,0.7704574554766617,0.1857506361323155,220.63333333333333,Action,21,28.8,0,Standard,15.49,2,paid_social,2,0.2858906463151716,0,on_service,52.34,37.77,0.179,3.81,0
673,29,3.793103448275862,0.9403384779971362,1.0,0.0737913486005089,287.03333333333336,Action,12,41.4,0,Basic,9.99,1,organic,1,0.5303043256997456,1,off_service_long,18.49,9.04,0.191,4.95,1
676,230,4.01304347826087,0.7504318103808745,0.895239203817949,0.001445041309333,269.8333333333333,Action,72,31.3,0,Basic,9.99,1,trial,3,0.6328688423996928,0,on_service,15.54,6.13,0.181,4.65,0
685,41,3.2195121951219514,0.6128700972453796,0.9601908974508206,0.104325699745547,274.96666666666664,Action,13,31.7,0,Standard,15.49,2,organic,1,0.402589868087883,0,on_service,37.54,22.96,0.182,4.74,0
687,34,4.161764705882353,0.439017295084424,0.1563263880805494,0.0865139949109414,44.766666666666666,Adventure,14,41.2,1,Basic,9.99,1,paid_social,2,0.05,0,on_service,128.21,118.76,0.191,0.77,0
690,163,4.110429447852761,0.7115114755702903,0.8334303340705389,0.4147582697201017,238.66666666666663,Drama,38,23.3,7,Standard,15.49,2,organic,1,0.1627651323963803,1,off_service_long,88.67,74.14,0.173,4.12,1
691,57,4.333333333333333,0.7578949543998575,0.4011174484926085,0.1450381679389313,114.86666666666666,Comedy,22,38.6,4,Standard,15.49,2,bundle,0,0.05,0,on_service,198.8,184.17,0.189,1.98,0
699,39,3.6794871794871793,1.2273590576560132,0.4789896403212664,0.099236641221374,137.16666666666666,Comedy,19,48.7,4,Basic,9.99,1,bundle,0,0.1161733916463261,0,on_service,75.96,66.48,0.199,2.37,0
705,476,3.309873949579832,0.7671458962825163,0.0317774415085554,0.0012234302310638,42.06666666666667,Action,203,42.6,0,Basic,9.99,1,bundle,0,0.05,0,on_service,128.21,118.76,0.193,0.73,0
706,62,2.524193548387097,1.072867382737168,0.6219299266674426,0.012135447249951,178.5,Action,21,33.9,0,Basic,9.99,1,paid_social,2,0.3436762177089786,0,on_service,28.25,18.83,0.184,3.08,0
714,313,3.779552715654952,0.7850549902758562,0.1744849260854382,0.0002264536989005,167.2,Action,134,42.8,0,Basic,9.99,1,organic,1,0.05,0,on_service,128.21,118.76,0.193,2.88,0
719,95,4.28421052631579,0.930147070214406,0.839715981841462,0.0039627914737412,242.5,Drama,32,33.7,7,Basic,9.99,1,bundle,0,0.482391389736299,0,on_service,20.29,10.87,0.184,4.18,0
776,20,3.575,0.6934847169416057,0.5809568152717961,0.0508905852417302,166.36666666666667,Comedy,6,30.0,4,Basic,9.99,1,trial,3,0.3593201595965717,0,on_service,27.05,17.65,0.18,2.87,0
780,69,3.9927536231884058,0.829124066601351,0.182982190664649,0.0351145038167938,52.56666666666667,Drama,34,49.3,7,Basic,9.99,1,paid_social,2,0.05,0,on_service,128.21,118.73,0.199,0.91,0
783,52,4.028846153846154,0.4687641400582225,0.1153532766849028,0.1323155216284987,33.03333333333333,Action,23,44.2,0,Standard,15.49,2,trial,3,0.05,0,on_service,198.8,184.13,0.194,0.57,0
788,60,4.416666666666667,0.4709048868183239,0.1727389128157374,0.1526717557251908,49.46666666666667,Action,40,66.7,0,Standard,15.49,2,trial,3,0.05,0,on_service,198.8,184.02,0.217,0.85,0
791,31,4.516129032258065,0.0898026510133874,0.0796182050983587,0.0788804071246819,22.8,Adventure,19,61.3,1,Basic,9.99,1,trial,3,0.05,0,on_service,128.21,118.7,0.211,0.39,0
798,164,4.1676829268292686,0.5518442004290788,0.1725061110464439,0.0057164766983861,51.833333333333336,Action,59,36.0,0,Basic,9.99,1,paid_social,2,0.05,0,on_service,128.21,118.78,0.186,0.89,0
801,672,3.4017857142857144,0.7440953430156321,0.1017343731812361,0.0080278106296813,36.2,Drama,271,40.3,7,Basic,9.99,1,paid_social,2,0.05,0,on_service,128.21,118.77,0.19,0.62,0
804,35,4.8,0.571376048006297,0.1851938074729368,0.0028728556184847,54.06666666666667,Action,13,37.1,0,Basic,9.99,1,organic,1,0.05,0,on_service,128.21,118.78,0.187,0.93,0
805,561,4.288770053475936,0.8485483942518058,0.8395995809568153,1.0,240.4333333333333,Action,197,35.1,0,Premium,22.99,3,organic,1,0.05,1,off_service_long,295.05,273.37,0.185,4.15,1
810,247,3.0931174089068825,1.094810930692597,0.758118961704109,0.0092426283490495,219.36666666666667,Action,67,27.1,0,Basic,9.99,1,trial,3,0.5276738551887623,1,off_service_long,18.58,9.19,0.177,3.78,1
812,41,4.2073170731707314,1.2092126041152644,0.5319520428355256,0.104325699745547,152.36666666666667,Action,23,56.1,0,Standard,15.49,2,bundle,0,0.05,0,on_service,198.8,184.07,0.206,2.63,0
814,26,4.4423076923076925,0.6530991207607474,0.172040507507857,0.0661577608142493,49.3,Action,12,46.2,0,Basic,9.99,1,organic,1,0.05,0,on_service,128.21,118.75,0.196,0.85,0
822,145,3.041379310344828,1.1689017998208924,0.1181468979164241,0.0047302146538787,36.43333333333333,Drama,50,34.5,7,Basic,9.99,1,paid_social,2,0.05,0,on_service,128.21,118.79,0.184,0.63,0
839,34,3.911764705882353,0.8208512602438095,0.5673379117681294,0.0865139949109414,162.46666666666667,Action,10,29.4,0,Basic,9.99,1,bundle,0,0.2318133319590327,1,off_service_long,41.25,31.86,0.179,2.8,1
842,60,3.466666666666667,1.0809077582850923,0.987777907112094,0.1526717557251908,282.8666666666667,Action,20,33.3,0,Standard,15.49,2,trial,3,0.5272864478270798,1,off_service_long,28.83,14.23,0.183,4.88,1
845,92,3.630434782608696,1.16465710941596,0.0613432662088231,0.1170483460559796,17.633333333333333,Action,33,35.9,0,Standard,15.49,2,trial,3,0.05,0,on_service,198.8,184.18,0.186,0.3,0
855,85,4.317647058823529,0.7272217960266638,0.7924572226748924,0.0016766278083515,231.2,Drama,30,35.3,7,Basic,9.99,1,paid_social,2,0.4825274642357382,1,off_service_long,20.28,10.86,0.185,3.99,1
862,40,4.0125,0.8806138593224442,0.1843790012804097,0.1017811704834605,52.8,Action,11,27.5,0,Standard,15.49,2,organic,1,0.05,0,on_service,198.8,184.24,0.178,0.91,0
863,33,4.333333333333333,1.0206207261596578,0.7987428704458154,0.0419847328244274,228.76666666666668,Crime,9,27.3,5,Basic,9.99,1,bundle,0,0.4434019299444387,0,on_service,22.03,12.65,0.177,3.95,0
868,56,3.6517857142857135,0.8252803537814664,0.2132464206727971,0.1424936386768447,61.06666666666667,Action,16,28.6,0,Standard,15.49,2,paid_social,2,0.05,0,on_service,198.8,184.23,0.179,1.05,0
869,20,3.35,1.4244112357114616,0.7719706669770691,0.0508905852417302,221.06666666666663,Drama,8,40.0,7,Basic,9.99,1,organic,1,0.3621312409607901,0,on_service,26.84,17.4,0.19,3.81,0
876,388,3.3131443298969074,1.2664452722853303,0.514957513677104,0.4936386768447837,147.5,Action,157,40.5,0,Standard,15.49,2,bundle,0,0.05,0,on_service,198.8,184.15,0.19,2.54,0
879,87,4.465517241379311,0.8380247521191689,0.392503783028751,0.2213740458015267,112.4,Comedy,28,32.2,4,Standard,15.49,2,trial,3,0.05,0,on_service,198.8,184.21,0.182,1.94,0
887,42,4.071428571428571,0.4759000275655947,0.0187405424281224,0.1068702290076335,5.366666666666666,Action,25,59.5,0,Standard,15.49,2,bundle,0,0.05,0,on_service,198.8,184.06,0.21,0.09,0
897,113,3.3761061946902653,1.3587201393934754,0.6079618205098358,0.2875318066157761,174.1,Action,35,31.0,0,Standard,15.49,2,organic,1,0.05,0,on_service,198.8,184.22,0.181,3.0,0
924,485,3.2041237113402063,0.8273373508442008,0.2337329763706204,0.0004676380038317,154.86666666666667,Action,202,41.6,0,Basic,9.99,1,paid_social,2,0.05,0,on_service,128.21,118.76,0.192,2.67,0
937,20,3.375,0.9983539083490331,0.485042486322896,0.0508905852417302,138.9,Action,7,35.0,0,Basic,9.99,1,organic,1,0.1425886964374517,0,on_service,64.19,54.76,0.185,2.4,0
944,371,3.300539083557952,0.696011595475186,0.0909090909090909,0.0325524260770378,26.966666666666665,Action,152,41.0,0,Basic,9.99,1,trial,3,0.05,0,on_service,128.21,118.76,0.191,0.47,0
948,327,4.296636085626911,0.8106391852313112,0.7191246653474567,0.0027014969763061,216.16666666666663,Comedy,89,27.2,4,Basic,9.99,1,bundle,0,0.3995489837898123,0,on_service,24.39,15.01,0.177,3.73,0
950,23,3.782608695652174,1.3127528930087211,0.9682225584914446,0.0585241730279898,277.26666666666665,Comedy,8,34.8,4,Basic,9.99,1,paid_social,2,0.5957159602791608,1,off_service_long,16.49,7.07,0.185,4.78,1
952,106,4.325471698113208,0.6096152292740097,0.0875334652543359,0.2697201017811705,25.066666666666663,Action,52,49.1,0,Standard,15.49,2,trial,3,0.05,0,on_service,198.8,184.11,0.199,0.43,0
